Episode Name,Characters,Dialogue
Pursuit,Officer 2,Horrible.
Pursuit,Soichiro,"He's playing with people's lives, as if all this was just a game. It's unforgivable."
Pursuit,L,If Kira is really using criminals as test subjects... what is he trying to achieve?
Pursuit,Light,"Look at this, Ryuk. I think we're in luck. The results of yesterday's little ""test"" of ours has been downloaded onto my dad's computer. And these results are just as I suspected. The Death Note will work for what I have in mind."
Pursuit,Ryuk,Whaddya mean by that?
Pursuit,Light,One of 'em escaped and ran into the bathroom I had specified in the Death Note.
Pursuit,Light,"[cont'd] [V.O.] Another one drew the same symbol I had drawn in the bathroom before he died. And finally [the half of the screen with the cell is replaced with the previously seen letter] a third wrote the same letter I had written in the Death Note, word for word."
Pursuit,Light,"[cont'd] All three did exactly what I intended them to do. For the other three inmates, I purposely wrote conditions that were virtually impossible."
Pursuit,Ryuk,Huh?
Pursuit,Light,"With the first one, I wrote that he would die in front of the Eiffel Tower in one hour. However, everyone knows it's physically impossible to go from a prison in Japan to Paris, France in only one hour. Since this couldn't happen, he simply died of a heart attack in prison. The next was supposed to draw an exact picture of L's face on the prison wall. This also didn't happen. You can't draw someone you've never seen before."
Pursuit,Ryuk,[O.S.] Makes sense.
Pursuit,Light,"[V.O.] With the last one, I tried something slightly different. I specified that he would write a note that read, ""I know that L is suspicious of the Japanese police."""
Pursuit,Light,"[cont'd] To be honest, I actually expected this one to work, but it didn't end up happening. Which means, it's impossible to make someone write what they don't already know. Or at the very least, it has to be the kind of thing they could come up with on their own. Basically, even the Death Note can't do the impossible, but as long as it's within the realistic limits of what that person might do, I can control them as much as I want before they die."
Pursuit,Ryuk,That's very clever. But what's all this leading to? What's the point?
Pursuit,Light,"These latest victims will no doubt keep L and the police guessing. Even as we speak, he's probably trying to decipher all the clues I left for him. Especially that little note. That absolutely meaningless dying message."
Pursuit,L,"If Kira used those criminals to start an experiment of some sort, it means he's about to start something. If he moves now, there's a good chance the FBI will notice someone acting. But perhaps he has a different goal in mind altogether."
Pursuit,L,[cont'd] [O.S.] Could the pentagram and this letter be some kind of message?
Pursuit,L,[cont'd] [O.S.] Is this it?
Pursuit,Light,Alright. Time for the real thing.
Pursuit,Ryuk,"""Real thing""?"
Pursuit,Light,Yesterday on the news they said this drug addict tried to rob a bank but was unsuccessful.
Pursuit,Light,[cont'd] [O.S.] He attacked a few people and then ran away emptyhanded. I'll use him.
Pursuit,Light,"[cont'd] It's kinda last minute, but I'm sure I can find someone. I got a few people in mind."
Pursuit,Ryuk,"""A few people."" For what?"
Pursuit,Light,"You'll see. [putting phone to his ear] Believe it or not, I'm actually a rather popular guy, Ryuk."
Pursuit,Yuri,"Hello? ...Huh? Light? Oh, morning."
Pursuit,Light,[thinking] He's still following me. This whole thing would just be a waste of time if he wasn't following me.
Pursuit,Yuri,[waving] [calls out] Light!
Pursuit,Ryuk,A date?
Pursuit,Light,Yeah.
Pursuit,Light,[cont'd] It's a date no matter how you look at it. I'm sure even my stalker will see it that way.
Pursuit,Ryuk,"But this isn't just a date, is it? You said that you'd figured out a way o find your stalkers name. So tell me, what do you plan on doing?"
Pursuit,Light,"Huh? Come on, didn't you see what I wrote in the Death Note? I explained it in great detail."
Pursuit,Ryuk,No. Doing that would take all the fun out of it.
Pursuit,Light,"In that case, just be patient and watch what happens. [he approaches the bus shelter; to Yuri:] Sorry, did I keep you waiting?"
Pursuit,Yuri,"No, not at all. Anyway, I haven't been to Space Land since junior high! [clings to Light's arm] I'm so excited. And the best part is I have you all to myself!"
Pursuit,Light,"Uh, yeah."
Pursuit,Stranger,[thinking] During the week he goes to school and cram school at night.
Pursuit,Stranger,"[cont'd] [thinking] Dates on his day off. Normal kid, just a hardworking senior in high school. Chief Yagami's son, Light Yagami. [Stranger jots down notes in small notebook] No cause for suspicion."
Pursuit,Stranger,"[cont'd] [thinking] At any rate, I'll be done with my surveillance today, and that'll be it."
Pursuit,Yuri,"I don't get it, Light. Didn't you say you weren't going out until entrance exams were over?"
Pursuit,Light,That was before I scored number one on the national practice exams.
Pursuit,Yuri,[groans] [playfully] You're such a nerd. [giggles]
Pursuit,Light,"[thinking] It's him. He's here. Seven passengers excluding him, no one's in the way. Everything should go smoothly."
Pursuit,Osoreda,Stay in your seats unless you want to die.
Pursuit,Stranger,[thinking] A bus jacking? You gotta be kidding me.
Pursuit,Osoreda,"Everybody shut up! If anybody moves, I'm putting a bullet in their head. [to Sasaki] Alright, driver, you listen to me. I know you've got the number for Space Land's office on ya. Call 'em!"
Pursuit,Sasaki,O-okay.
Pursuit,Sasaki,"[on the phone] This-this is Sasaki, calling from Bus 1-7-4. [cut back]"
Pursuit,Osoreda,"Tell 'em what's going on—and no tricks, either."
Pursuit,Sasaki,"M-my bus has been hijacked, and he's holding a gun to my head."
Pursuit,Osoreda,[grabbing phone from Sasaki] Gimme that. [on the phone] You heard what he said. Now you listen up!
Pursuit,Osoreda,"Have a female staff member bring all the cash from Space Land's cash from yesterday. I know it's there. Have her meet us two bus stops from the park and don't make me wait. If you try to mess with me at all or try to get the police involved, I swear I'll kill everyone one of these passengers."
Pursuit,Yuri,Huh?
Pursuit,Light,"[V.O.] Yuri, don't be scared. As soon as he turns around, I'm going to grab the gun out of his hand."
Pursuit,Stranger,"Don't be stupid. That's risky. [leans closer] If it comes to that, I'll take care of it."
Pursuit,Stranger,"It's okay. We don't have to pass notes back and forth. As long as we keep it down, he won't be able to hear our voices over the sound of the engine."
Pursuit,Light,Do you have any proof you're not his accomplice? Why should we trust you?
Pursuit,Yuri,[timidly] Accomplice?
Pursuit,Light,"Yes, I've read about this before. The first hijacker comes in like he's working alone. Meanwhile, the second one pretends to be a hostage and stays in the very back just in case something goes wrong. [softly] What's the matter."
Pursuit,Yuri,[softly] You... you really think he is one?
Pursuit,Stranger,"[thinking] I... I have no choice. I'm sure Light Yagami isn't Kira. If he was, he could just kill this guy with a heart attack."
Pursuit,Stranger,Here's my proof. [Light takes it] Take a look.
Pursuit,Light,"[thinking] FBI? I see. L needed an outsider, so he got the FBI to investigate anyone connected to the Japanese Police Force. His name is... Raye Penber."
Pursuit,Light,I trust you. And I guess for the time being I won't bother asking what an FBI agent is doing on the bus in the first place. Do you have a gun?
Pursuit,Raye,"Yeah, I've got one."
Pursuit,Light,"So if it comes down to it, I can rely on you, right?"
Pursuit,Raye,Yes.
Pursuit,Osoreda,"Get the hell up, you old hag! You want me to shoot you right now?"
Pursuit,Raye,[gasps] [thinking] That's right. This guy. His face was all over the local news just a few days ago.
Pursuit,Osoreda,"Look at me when I'm talking to you, grandma! I said shut up! [growls]"
Pursuit,Raye,[cont'd] [thinking] Some junkie. He tried to rob a bank and then killed three people before he got away. He's extremely dangerous.
Pursuit,Light,"[smugly thinking] We're safe. He won't shoot us. In fact, he's not gonna do anything."
Pursuit,Osoreda,"[shouting] Don't move, you little punk!"
Pursuit,Osoreda,"[shouting] What the hell is that? [pause] Eh, smartass! [picking up note] You guys were planning something back here, weren'cha?"
Pursuit,Raye,"[thinking] Damn it! If he sees that note from before, he'll find out that Light was planning to jump him and take his gun away!"
Pursuit,Osoreda,"Pft. Plans for a date, huh? [crumples and tosses note to Light] Stupid kid."
Pursuit,Light,[thinking] Gotcha.
Pursuit,Osoreda,Huh?
Pursuit,Osoeda,[shouting frantically] Wh-who the hell are you? You in the very back? What do you think you're doing?
Pursuit,Osoreda,[shouting frantically] Don't mess with me!
Pursuit,Osoreda,[shouting frantically] How long have you been hiding back there?
Pursuit,Ryuk,What's this? [tilts head] You're talking to me? [steps forward] So you mean you can actually see me right now?
Pursuit,Osoreda,"[gasps] Stay there, you! You—Keep away from me, you freak!"
Pursuit,Raye,[thinking] This isn't good. He's hallucinating! [quickly leans forward] [shouting] Everyone! Get down!
Pursuit,Ryuk,"Oh, I get it! That little note that Light ""accidentally"" dropped, was actually torn from the pages of the Death Note itself. Since he tricked this guy into TOUCHING the paper, he's the only other one on the bus who can see me. [walking towards Osoreda] That's so smart!"
Pursuit,Osoreda,[stumbling back] [shouting frantically] Get away!
Pursuit,Soichiro,"Sorry, pal. I'm a Shinigami, so I'm afraid your bullets aren't gonna kill me."
Pursuit,Ryuk,"""Anyone who touches the Death Note can see me."" ""I have to stay 'til the Death Note is finished or you die—whichever comes first."" And ""a Shinigami can't die from being shot."" I've said all these things at one time or another. Well, he is the top-ranked student in the country. [Raye gets up from his seat and runs forward] He even used this hijacking as a way to get the guy following him to willingly give up his name."
Pursuit,Osoreda,Stop the bus. [shouting] Let me off!
Pursuit,Light,[thinking] Eleven forty-five on the dot. Everything went just as I planned.
Pursuit,Light,"[cont'd] [V.O.] ""Kiichiro Osoreda. Accidental death."""
Pursuit,Light,"[cont'd] [V.O.] ""Boards the 11:31 Space Land-bound bus near the eastern entrance to the park, holding a loaded gun, and attempts to hijack the bus. He sees a horrific phantom and empties his gun trying to kill it. Terrified, he leaves the bus. Immediately afterwards, at 11:45, he dies when struck by a car."""
Pursuit,Light,"[cont'd] [thinking] The Death Note never fails. [cut to Raye] You will be next, Raye Penber."
Pursuit,Light,"[V.O.] It's just as I thought. He doesn't suspect me at all. The remaining investigators will all die of heart attack. Farewell, Raye Penber."
