Episode Name,Characters,Dialogue
Confrontation,Light,"Isn't it obvious? Anyone who touches the Death Note will be able to see you. I can't afford to carry something this dangerous with me anymore. Up until now, I thought that if my family ever saw the notebook, I can tell them I was keeping records of various criminals in preparation for becoming a detective one day. But I'm walking a very fine line right now. I don't want to think about it, but if I make one mistake, I might end up killing my own family."
Confrontation,,Light mixes two liquids which then ignite. Scene change back to ICPO headquarters.
Confrontation,L,"The difficulty of this case lies on its unprecedented scope. And make no mistake. We are witnessing an atrocious act of mass murder, one that is unforgivable. This case cannot be solved without the full cooperation of the ICPO. That is all of the police organizations you represent throughout the world. You need to make the decision to fully support the investigation at this meeting. Also, I require additional cooperation from Japan's National Police Agency."
Confrontation,Soichiro,Huh? What? Why Japan in particular?
Confrontation,L,"Whether the guilty party is an individual or a group, there's a strong possibility that they are Japanese. And even if they are not, we can be sure they're hiding in Japan."
Confrontation,Soichiro,What is all this based on?
Confrontation,L,"Why Japan, you ask? I think I will be able to provide you with proof of that after I directly confront the culprit."
Confrontation,Soichiro,A direct confrontation?
Confrontation,L,"At any rate, I would like to set up the investigation headquarters in Japan."
Confrontation,,Scene change. Light's room. Light relaxes into his desk chair.
Confrontation,Light,That was easier to make than I thought it'd be.
Confrontation,Ryuk,Huh? Does that mean you were able to hide the notebook?
Confrontation,Light,Yeah. I hid it right here in this drawer.
Confrontation,Ryuk,But it doesn't seem to be particularly well hidden. You left the key in the lock.
Confrontation,Light,And that's the whole point. I intentionally left the key in the most noticeable place I could think of.
Confrontation,,"Light opens the drawer, revealing a brown leather diary."
Confrontation,Ryuk,Isn't that just a regular diary?
Confrontation,Light,"That's what it is. I'm guessing that once most people find the diary inside my desk, that'll probably satisfy their curiosity. But the real key is this. Just an everyday item you'd expect to find lying around on my desk. A regular ball-point pen, and all I need is this part."
Confrontation,,He removes the ink reservoir of the pen.
Confrontation,Ryuk,So that's the key?
Confrontation,Light,"Yeah. If you look closely, you'll find there's a small hole underneath the drawer. Then you just insert this."
Confrontation,,"Light inserts the ink filler into the hole. It lifts up the bottom of the drawer, revealing the Death Note in the real drawer."
Confrontation,Ryuk,Aha. A fake bottom. The diary will distract most people so I doubt anyone will find it.
Confrontation,Light,But that's not all.
Confrontation,Ryuk,Oh?
Confrontation,Light,"Even if someone figures out there's a fake base, I've set things up so that there's no way they could get their hands on the notebook. You see, once the ink reservoir is inserted, it accesses an insulator, preventing the flow of electricity around this circuit. When the fake base of the drawer's put back, this piece of rubber also prevents the flow of electricity. However, if someone were to try and force the bottom of the drawer open, the circuit would connect and now would ignite the gasoline contained in this thin plastic casing, instantly setting the notebook on fire. The way I’ve got it set up, all the evidence will be completely destroyed. If I'm ever questioned, I'd say that I was hiding the real diary because I didn't want anyone to see it. It sounds like a pretty believable excuse. I mean, it is my diary after all."
Confrontation,Ryuk,"I've heard of humans finding Death Notes in the past and typically the biggest problem they had was finding a good place to hide it. But you, Light, you're probably the first to have given it this much thought. Though, it's a pretty risky setup from the look of it. If you make even the slightest mistake, you could be badly burned."
Confrontation,Light,"Risky? You say the strangest thing sometimes, Ryuk. This whole thing has been a risk since the very beginning, from the moment I obtained the Death Note. I'm sorry, but compared to that, this doesn't even qualify as a risk to me. In fact, it actually protects me. It all comes down to a choice: would I prefer to be executed or deal with a little house fire?"
Confrontation,,Commercial break
Confrontation,,Scene change to Daikoku Private Academy.
Confrontation,Announcer,"Last night in the West Tokyo penitentiary, Naoki Koro Kitayama, originally sentenced to fifteen years for armed robbery, was reported to have died of a sudden heart attack at the age of thirty-two. This is just the most recent death in the steadily growing number of cases involving inmates dying of heart attacks."
Confrontation,Student 1,This is unbelievable. Criminals are dropping like flies lately.
Confrontation,Student 2,"It's a little scary, but at the same time, it's kind of cool."
Confrontation,Student 1,Sure. Just make sure you don't do anything bad.
Confrontation,Student 3,I won't be surprised if the police were behind this.
Confrontation,Student 2,No way. The police don't have that kind of power.
Confrontation,Student 1,Don't you know about him?
Confrontation,Student 3,Huh? About who?
Confrontation,Student 1,"Kira. You know, Kira."
Confrontation,Student 4,I wonder who's gonna be killed next.
Confrontation,,Scene change to Light's room. Light looks at his computer.
Confrontation,Light,"Ryuk, you should check this out."
Confrontation,Ryuk,Huh?
Confrontation,,Ryuk moves to stand behind Light.
Confrontation,Light,Websites like this are popping up everywhere lately.
Confrontation,Ryuk,The Legend of Kira the Savior. Huh. Sounds pretty cool. Is this about you?
Confrontation,Light,"Yeah. I think they've taken the name ""Kira"" from the English word ""killer."" Can't say I'm too happy about that, but it looks like that's the name they've decided to give me. When I search the word Kira, I'm pulling up tons of sites just like this one. The media hasn't picked up on it. They're still calling this a succession of unexplained deaths among the world's most hardened criminals. But…the people of the world can already sense that there's something happening. They know there's someone out there passing righteous judgment."
Confrontation,Ryuk,Oh?
Confrontation,Light,"Human beings are like that, Ryuk."
Confrontation,Ryuk,Huh.
Confrontation,Light,"Although this would probably never happen in school, let's say that students were asked to discuss whether bad people deserve to die. Well, you can bet that everyone will give the politically correct answer."
Confrontation,,Scene change to Daikoku Private Academy.
Confrontation,Girl,It's just wrong to kill people.
Confrontation,,Scene change. Back to Light's room.
Confrontation,Light,"That's what they are bound to say. Of course, that's the correct response to give, right? Humans are always trying to maintain appearances when they're in public. That's just how we are. But this is how they really feel. Most are too afraid to support me as they're worried about what others would think. Many would rather deny my existence. But on the Internet, where you can remain anonymous, support for Kira is growing. Maybe people are afraid to say it out loud, but they all understand what's happening. Someone's making the bad guys disappear one by one. Those who have done no wrong are cheering for Kira in their hearts because they have nothing to fear, while those who have done wrong are on the run. They are forced to hide from an unknown enemy. This is how it should be. It's perfect. Everything is going just like I planned."
Confrontation,,Time change. Later that afternoon in Light's room.
Confrontation,TV Announcer,"We'd like to apologize for the interruption. As of now, we're bringing you a live worldwide broadcast from Interpol, ICPO."
Confrontation,Ryuk,Hm? What's this?
Confrontation,Light,Interpol?
Confrontation,TV Announcer,We now take you live to the ICPO.
Confrontation,Lind L. Tailor,"I head up an International Police Task Force which includes all member nations. I am Lind L. Tailor, otherwise known as L."
