Episode Name,Characters,Dialogue
Overcast,Watari,"[cont'd] ...my cell phone will ring, displaying your name. [hangs up cell phone] And I'll call you back immediately, but you won't see my number displayed. In the morning, all of you will go to the police station as usual. Then, later on in the day, we'll use this method, we'll use this method to confirm the name of Ryuzaki's hotel and his room number. Please use this for emergencies as well"
Overcast,Matsuda,"[smiling and fiddling with his belt] No way, this is totally cool! I feel like some kind of secret agent going after Kira!"
Overcast,Soichiro,"Quiet, Matsuda! This is not the time to be fooling around. Knock it off!"
Overcast,Matsuda,"[dejectedly] Yes, sir."
Overcast,"""Shoko""","Thank you so much for everything you've done, Light. After talking to you, I feel much more confident about my theory."
Overcast,Light,Not at all
Overcast,Light,"[thinking] Considering that Ryuk mentioned that eye deal again, there's no doubt in my mind that she used an alias. At this rate, once she goes to the police with her theory about Kira being on that bus, and they look at all the people Raye Penber was investigating, it won't take them long to zero in on me."
Overcast,Ryuk,"[chuckles] Hey, she's leaving. So now what?"
Overcast,Light,"[thinking] I've got about five minutes before that woman gets to police headquarters. Think. I need her real name, and I don't have much time to spare."
Overcast,Light,"[thinking] If this woman makes it to the police station and someone from the task force has returned by then, it'll all be over for me. I've gotta find out a real name and eliminate her quickly. Only three minutes left until she reaches the station. Alright. [walks faster to catch up]"
Overcast,Ryuk,Oh? Whatcha doin'?
Overcast,Light,Excuse me.
Overcast,"""Shoko""",Yes?
Overcast,Light,There's something that I should probably tell you.
Overcast,"""Shoko""",Okay.
Overcast,Light,"The thing is, it'll be impossible for you to contact anyone from the task force directly."
Overcast,"""Shoko""",Huh?
Overcast,Light,"[thinking] That's right. Keep the conversation going. I just need to find something she can latch onto, and I've got her. Once she's comfortable, then I can get her real name. I can do this."
Overcast,"""Shoko""",[annoyed] I can't contact anyone? But why not?
Overcast,Light,Didn't you find it odd there was no one at task force headquarters?
Overcast,"""Shoko""","Uh, yeah, I did find it a bit strange, but I didn't..."
Overcast,Light,Let me explain: the task force has been organized so that its members can't be identified and nobody on the outside knows who's in charge
Overcast,"""Shoko""",Mmm...
Overcast,Light,"If the members names were ever made public or the structure of the task force was revealed, we'd likely see another tragedy along the lines of the one that claimed your fiance's life."
Overcast,"""Shoko""",I see.
Overcast,Light,"That's why you were told earlier that no one was at task force headquarters. What I'm trying to say is, you'll never be able to talk to someone directly from the task force, because the police simply won't allow it."
Overcast,Ryuk,[chuckles] That's pretty clever. I'm impressed.
Overcast,"""Shoko""","If this is supposed to be a secret, then how do you know so much?"
Overcast,Light,Very well. You leave me no choice. It's because I'm actually a member of the task force.
Overcast,Ryuk,Huh?
Overcast,"""Shoko""","I'm sorry. You're telling me that you're an agent. Yes. L is currently in charge of the task force, and he's leading our investigation."
Overcast,"""Shoko""","Yes. To be honest, I already suspected that."
Overcast,Light,"He was concerned that the task force had become to small. Many detectives had quit, fearing for their lives, and so despite the fact that I'm a high school student, he brought me on board to help out with the investigation. After all, I've helped them solve cases in the past."
Overcast,"""Shoko""","So L trusts you, then."
Overcast,Light,"I can go to task force headquarters whenever it suits me, and I'm allowed to investigate freely as I see fit. You see, these days the task force is made up of a chosen few. An elite group of people handpicked for the job by L. All are highly skill, well respected, and above all, trustworthy."
Overcast,Shoko,[gasps]
Overcast,Ryuk,[laughs]
Overcast,"""Shoko""","[pauses] Thanks for explaining, but just to be safe, I'd like to visit the task force headquarters again."
Overcast,Light,Huh?
Overcast,"""Shoko""",Goodbye. [walks away]
Overcast,Light,"Uh, please, wait a second! [runs to catch up] It's like I just told you. They won't let you talk to anyone."
Overcast,"""Shoko""","I know, but I was hoping I could speak with L directly."
Overcast,Light,[lets out small breath]
Overcast,Ryuzaki,"Oh, and come to think of it, who's at the police station right now?"
Overcast,Soichiro,"Actually, no one's there at the moment."
Overcast,Ryuzaki,That's not good news. We need someone there at all times. Work in shifts if you have to.
Overcast,Soichiro,"I understand. Aizawa, I'll put you in charge of that for today."
Overcast,Aizawaw,"[standing up] Yes, sir. I'm on my way. Won't take me long."
Overcast,Light,"[urgently] Miss Maki, please, wait a second! It's literally impossible to meet L. This is pointless!"
Overcast,"""Shoko""",You may be right. But I think that there's a chance that he'll meet with me.
Overcast,Light,Huh?
Overcast,"""Shoko""","Although the only contact I've had with him is following orders through a computer, he might remember who I am. You see, I worked under him in a case in the U.S. about two years ago."
Overcast,Light,A-are you serious? You worked under L?
Overcast,"""Shoko""","Yes. I didn't tell you this, but up until three months ago, I worked as an FBI agent."
Overcast,Light,"[gasps][thinking] This is it. Finally, something I can use. [aloud] Guess I shouldn't be surprised. In fact, I noticed early on that your investigative skills were far beyond those of an amateur."
Overcast,Light,"[cont'd] You're very cautious, and you seem to have a gift for getting to the heart of the matter. [starts walking away and stops when behind her] If I could, I'd like to learn from you."
Overcast,Ryuk,[laughs] One lie after another. You make it look easy.
Overcast,"""Shoko""","From the beginning, I knew I had to do things outside the regular channels, because from my perspective, both the police and the members of the task force were suspects. But I'm certain that I can trust L. Maybe it's unrealistic, but I think that if I go to the headquarters and give them my name, there's a chance that they'll let me speak with him directly."
Overcast,Light,"I see. But if the only person you could trust with this info was L, then why me?"
Overcast,"""Shoko""","I suppose I was upset that they wouldn't allow me to see anyone from the task force, and then you came along, claiming to be the son of the lead detective and... No, that's not it. I'll be honest with you. It's because, you remind me of L. There's something about you that's just like him."
Overcast,Light,Hmm... [turns around to face her] Will you investigate this case with me?
Overcast,"""Shoko""",Huh?
Overcast,Light,I want you to come work with us as part of the task force. We could use your help.
Overcast,Light,"[cont'd] Please, I know this is sudden, but the team needs people like you. I'm serious. You could be doing so much more than gathering information on your own. You have all the experience as an FBI agent, your more talented than most of the detectives currently on the task force, and L obviously trusted you in the past. It wouldn't be that difficult for you to join. All you'd need is some valid identification, a recommendation from a current task force member, and of course, you'd need to get L's permission."
Overcast,"""Shoko""",You want me to join the task force?
Overcast,Light,I can't help but think it must be fate that I met you today. I'd like to be the one to recommend you.
Overcast,Light,"[cont'd][rubbing the back of his head] Oh, I'm sorry about that. I guess I got a little bit too excited."
Overcast,"""Shoko""",It's okay. [chuckles]
Overcast,Light,"I mean, even if you acted as a consultant on this investigation, it would be a great help. I'm sure you have personal obligations to attend to. Not to mention the fact that you live in the United States."
Overcast,"""Shoko""","It's true. Before all this happened, I thought I'd continue living in America with my fiancé. We'd planned on getting married in the spring. But now he's gone, so I'm not sure what to do anymore."
Overcast,Light,"[thinking] Alright, I've come this far. All she needs is a little encouragement. [aloud] But you're young and beautiful and you've got your life ahead of you. Why put it all in danger for this"
Overcast,"""Shoko""","[desperately] No! Now that Raye's gone, I've got nothing to lose anymore. I want to catch Kira! I don't care about anything else. It's all I wanna do. Please let me investigate this case with you."
Overcast,Ryuk,Huh? [laughs hysterically]
Overcast,Light,"Yes, of course. I just need to see some form of identification before we proceed."
Overcast,"""Shoko""","Oh, um..."
Overcast,Light,Yes?
Overcast,"""Shoko""","You see, the name I gave you earlier, well, it wasn't actually my real name. [bows] I'm so sorry."
Overcast,Light,"Don't worry, it's all right. To be honest, I'm impressed by how incredibly thorough you've been. But I suppose that's just further proof of your capabilities."
Overcast,"""Shoko""","So will a Japanese driver's license do the trick, then?"
Overcast,Light,Sure.
Overcast,Light,[thinking] I made it in time.
Overcast,Naomi,"Uh, so, if you don't mind me asking, why do you keep checking your watch?"
Overcast,Light,"[Oh, well... I guess it's because... [checks his watch, which has almost hit the forty second mark] Because I'm Kira."
Overcast,Light,What's the matter?
Overcast,Naomi,There's something I have to do.
Overcast,Light,Hmm. [pulls out cellphone] My father's cellphone might be available now. Do you wanna see if you can talk to him?
Overcast,Naomi,"No, thank you. I have nothing to say to him."
Overcast,Light,"Then goodbye, Naomi Misora."
Overcast,Light,"Okay, so the busjacker didn't die of a heart attack, and based on that, you're saying Kira has other ways of killing people?"
Overcast,Light,"With Ryuk's information and my preparations, I can continue to kill criminals who names are broadcast on the news, while masquerading as a typical high school student studying for his entrance exams. Just watch me, L."
