Episode Name,Characters,Dialogue
Tactics,Raye,"[cont'd][ thinking] Let's face it, he hasn't really left me any choice. Besides, it's not like he can kill them using just their names."
Tactics,Light,"Next, take out your laptop and turn it on. Any minute now your boss is going to send you a message with a file attachment. It contains the names and photos of all the FBI agents currently active in Japan."
Tactics,Raye,[thinking] But this... this is...
Tactics,Light,"Now, one by one you're going to look at each photo and then write that agent's name in the space provided. You're going to do this for each agent."
Tactics,Raye,"[thinking] It doesn't make sense. If he's got the names already, why use me? What's he planning to do with them? [closes laptop]"
Tactics,Light,"Good. Looks like you're done. [cut to Light] Now put the transceiver and all the papers back into the original envelope and place them on the wrack directly above your head. [cut to Raye putting papers in envelope] After that, you’re going to stay in your seat and ride the train for at least another thirty minutes. When you are absolutely certain that nobody will notice you leaving without the envelope, you can get off the train."
Tactics,Raye,[thinking] I know that voice. Why on earth can't I remember who it belongs to?
Tactics,Raye,"[thinking] Kira, who are you?"
Tactics,Raye,Light... Yagami.
Tactics,Light,Farewell... Raye Penber.
Tactics,Light,"[V.O.] Raye Penber wrote all those names on pages taken from the Death Note. Ironic. Without even realizing it, he was actually signing a death warrant for all of his colleagues. As for Penber's boss, he died of a heart attack after sending all of his agents a file. And the other eleven investigators? [chuckles] They all died of heart attacks after receiving the same file."
Tactics,Watari,"[through speakers] L, you have a call from the director of the FBI."
Tactics,Director,"It's me. I've got a report in front of me right now stating all of our agents in Japan are dead. All twelve died of heart attacks. I can only assume that Kira is behind this. Look, I'm sorry but it's already decided. We're calling off our investigation."
Tactics,Watari,I have Chief Yagami on the line.
Tactics,Soichiro,"[through speakers] L, I just got off the phone with the director of the FBI. According to him, it seems that you arranged for the FBI to come to Japan and investigate everyone here associated with the task force."
Tactics,L,"Yes, I did."
Tactics,Soichiro,So how do you explain this? Are we now suspects in our own investigation?
Tactics,L,I felt that it was necessary to uncover Kira's identity.
Tactics,Soichiro,"I cannot accept that! I find it unbelievable that you would spy on us, the very people working with you on this case."
Tactics,Officer 1,"Hear that? Well, I knew all along we couldn't trust that guy."
Tactics,Officer 2,"More importantly, Kira killed those FBI agents, didn't he?"
Tactics,Officer 1,"It's obvious he'll kill anyone who gets in his way, whether they're criminals or not. [cut to L's room] So much for his sense of justice. He's a murderer."
Tactics,Watari,We have another victim. A note was found at the scene.
Tactics,L,Hmm...
Tactics,Light,"[V.O. ]""L, do you know, gods of death..."""
Tactics,L,Hmm?
Tactics,Light,"[cont'd][V.O] ""...love apples?"""
Tactics,L,"[thinking] Damn you, Kira."
Tactics,Woman,"He's dead. Raye's dead. No, he was... he was murdered by Kira."
Tactics,Sayu,"Um, so, what's with the family meeting, Dad?"
Tactics,Soichrio,"I figured you're going to find out sooner or later, so I might as well tell you now. I don't want you to be alarmed. I'm sure you've heard of this Kira investigation. Well, I'm currently in charge of it."
Tactics,Sayu,"[sits upright] What? Are you serious? That's totally awesome, Dad. You're the best cop ever!"
Tactics,Soichiro,That's not quite the point I'm trying to make.
Tactics,Sayu,Oh?
Tactics,Soichiro,"You see, the truth is, the FBI sent twelve of their agents to Japan to assist us in finding Kira, and all of them died yesterday?"
Tactics,Light,Does that mean they were all killed by Kira?
Tactics,Sayu,What?
Tactics,Soichiro,What I'm saying is there's a chance that Kira will actually try to kill anyone who comes after him. His crimes are ruthless and more frightening than anything we've seen. Many detectives have already quit.
Tactics,Sayu,"Dad, you should quit, too! I don't want you to die. What if he gets you?"
Tactics,Sachiko,That's right. Your life is so much more important than some job.
Tactics,Soichiro,I can't. I could never forgive myself if I walked away from this. I will not sit back and let evil triumph.
Tactics,Sayu,"But Dad, you..."
Tactics,Sachiko,"Please, dear..."
Tactics,Light,"[after a brief pause] I think it's honorable of you, Dad. [standing up from seat] I'm proud to be able to call you my father. [while exiting the room] And if anything should ever happen to you, I'm going to find Kira. [opens door and looks back] And make sure he gets executed."
Tactics,Soichiro,We now know that Kira doesn't just target criminals. He'll kill anyone who opposes him.
Tactics,,Cut indoors to Soichiro addressing the task force
Tactics,Soichiro,"[cont'd] It's quite possible that we might all be killed by Kira. Think of your own lives. Your families and all the others you'd be leaving behind. If anyone wants to leave this investigation, now is the time. You won't be demoted if you choose not to stay. You have my word. But if you're not absolutely sure, then we don't need you. You have to be willing to fight against him, even if that means making the ultimate sacrifice. That is all."
Tactics,Officer 3,So what're ya gonna do?
Tactics,Officer 4,I'm not sure.
Tactics,Sasaki,"Oh yeah, that's him alright. There's no doubt about it. I remember him because he told us to get down. But I don't really remember any of the other passengers."
Tactics,Woman,"I see. Well, thanks for talking with me anyway. I appreciate it."
Tactics,Woman,"It's a bit of a longshot, but if what I'm thinking is right, Kira could have been one of the passengers on the bus that day. And if that is the case, then I know that he's close enough to use this bus route."
Tactics,Soichiro,"Five men, huh? Well, six, including myself. Still, I'm grateful to see that there are as many as five of you willing to risk your lives to face evil."
Tactics,L,[distorted by voice changer] The fact that you've chosen to stay means you have a strong sense of justice. I trust all of you.
Tactics,Aizawa,"Hah, uh, hold on a second. L just said that he's decided to trust us now. But honestly, what reason do we have to trust him?"
Tactics,Ide,"Look, L. All of us have agreed to put our lives at risk to bring Kira to justice, so I hope you understand what this means. We're really sticking our necks out here."
Tactics,Aizawa,"But you never have to show your face, do you? You just give the orders. I don't see how you expect us to work alongside you under those conditions."
Tactics,Soichiro,"L, if all of us are going to work together on this investigation, and if you truly meant what you said about trusting the six of us, could you come here so we could all meet in person?"
Tactics,L,"[after a pause][distorted] The thought had already crossed my mind. After all, I did say that I trusted all of you."
Tactics,Ide,"Why is he seeking our help now? There's only six of us. He's solved all these difficult cases by himself in the past, so what makes this one so different? The way L's been conducting things so far, odds are he's gonna send a stand-in or a proxy of some kind to meet us instead of coming himself. It's not like we'd ever know."
Tactics,Aizawa,"A proxy, huh? Well, it is possible."
Tactics,Matsuda,"I believe L. I thnk we can trust him. And besides, I don't really see how we can solve this case without his help."
Tactics,Mogi,I agree.
Tactics,Matsuda,Why would he do something like that?
Tactics,Soichiro,"There were a number of people on the task force who distrusted L before this investigation began. And once we got started, we had detectives resigning left and right. Following that, classified information was leaked. So I'm not surprised that he didn't trust us."
Tactics,Matsuda,"In other words, he was waiting for the task force to get narrowed down to only those investigators he could trust. And to do that, he needed to weed out anyone who wasn't totally committed."
Tactics,Soichiro,Hmm...
Tactics,Ide,"[growls][walking away] If we're working with that guy, I’m leaving the task force. You don't have to worry. I won't try to follow you. I'm not interested in finding L."
Tactics,Sasaki,O-okay.
Tactics,Ukita,"Well, I think we can trust L, so I'd be willing to cooperate with him on this investigation."
Tactics,Aizawa,Count me in.
Tactics,L,"[distorted] I'm staying at a suite in the Teito Hotel at the moment, but I'll be switching hotels every few days from this point on. I want you to think of these hotel rooms as the de facto headquarters of this investigation. If this arrangement is acceptable to all of you, then split into two groups and stagger your arrival so you come thirty minute apart. Please arrange it so you're all here at midnight."
Tactics,L,"Kira. I seems we're getting closer to each other in equal steps. [takes deep breath] It's only a matter of time before we collide. So be it. I'm ready to show my face. I'll make my first public appearance as L. If you ever manage to find out about these secret meetings, I'm sure you'd feel compelled to move in. [takes deep breath] That's what I'm counting on."
Tactics,Light,[thinking] I've been quite active over these past few days. Think carefully. Was there anything I missed? What comes next? There are endless possibilities. The real battle is only just beginning. L...
Tactics,L,"[voice muffled from inside] It's unlocked. Please, let yourself in."
Tactics,Soichiro,Hmm...
Tactics,Light,This woman. If she had spoken to the police before I met her... But it seems there's a god on my side after all. And not just a god of death.
